name,street,city,postal,province,full_address,X,Y,date,link
Kennedy Road Pharmacy,"2 Antrim Crescent, Unit 4","Scarborough, ON",M1P 2N3,Ontario,"2 Antrim Crescent, Unit 4 Scarborough, ON M1P 2N3",43.7719194,-79.2840048,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
People's Choice RemedysRx,1145 Morningside Ave. Unit#16,"Scarborough, ON",M1B 0A7,Ontario,"1145 Morningside Ave. Unit#16 Scarborough, ON M1B 0A7",43.8013095,-79.1984082,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Health Check Pharmacy Pharmasave,,"Scarborough , ON",M1X 1E6,Ontario,"Scarborough , ON M1X 1E6",43.8251798,-79.2489914,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Victoria Commons Pharmacy,"2555 Victoria Park Ave, Unit 6","Scarborough, ON",M1T 1A3,Ontario,"2555 Victoria Park Ave, Unit 6 Scarborough, ON M1T 1A3",43.7728002,-79.3211165,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
HealthSmart Pharmasave,2425 Eglinton Ave. E. #10,"Scarborough, ON",M1K 5G8,Ontario,"2425 Eglinton Ave. E. #10 Scarborough, ON M1K 5G8",43.7320812,-79.2672493,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1400 Neilson Rd. - Shoppers Drug Mart,1400 Neilson Rd.,"Scarborough , ON",M1B 0C2,Ontario,"1400 Neilson Rd. Scarborough , ON M1B 0C2",43.8093399,-79.2229982,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Markham Corners Pharmacy,5113 Sheppard Avenue East,"Scarborough, ON",M1S 4N8,Ontario,"5113 Sheppard Avenue East Scarborough, ON M1S 4N8",43.79257,-79.2391289,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Pharmasave Sharbot Lake,1036 Elizabeth Street Sharbot,"Lake, ON",K0H 2P0,Ontario,"1036 Elizabeth Street Sharbot Lake, ON K0H 2P0",44.7710742,-76.6905239,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
400 Manning Road - Loblaw,400 Manning Rd. St. Clair,"Beach, ON",N8N 4Z4,Ontario,"400 Manning Rd. St. Clair Beach, ON N8N 4Z4",42.3146959,-82.8665862,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Healthpoint Pharmacy and Clinic,7034 Tecumseh Rd Stoney,"Point, ON",N0R 1N0,Ontario,"7034 Tecumseh Rd Stoney Point, ON N0R 1N0",42.3049209,-82.5476026,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
500 Manning Rd. - Shoppers Drug Mart,"500 Manning Rd. RR #1, Unit 1","Tecumseh, ON",N8N 5H3,Ontario,"500 Manning Rd. RR #1, Unit 1 Tecumseh, ON N8N 5H3",42.311538,-82.868439,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
42 Overlea Blvd - Costo,42 Overlea Blvd Thorncliffe,"Park, ON",M4H 1B8,Ontario,"42 Overlea Blvd Thorncliffe Park, ON M4H 1B8",43.707102,-79.3480393,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1027 Yonge Street - Shoppers Drug Mart,1027 Yonge Street,"Toronto, ON",M4W 2K9,Ontario,"1027 Yonge Street Toronto, ON M4W 2K9",43.6776412,-79.3894544,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
